"候補識別情報","配置","ファイル種別","関連する既知ファイル","関連する未解決事項","候補とした根拠","既存調査との関係","推定される役割","確度","内容調査の期待効果","調査リスク","優先度","候補群","次段階で推奨する確認内容"
"C:\fchart\chokan\KABUJOHO\20011105.csv","C:\fchart\chokan\KABUJOHO\20011105.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\20011106.csv","C:\fchart\chokan\KABUJOHO\20011106.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\20011107.csv","C:\fchart\chokan\KABUJOHO\20011107.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070305.csv","C:\fchart\chokan\KABUJOHO\D070305.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070306.csv","C:\fchart\chokan\KABUJOHO\D070306.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070307.csv","C:\fchart\chokan\KABUJOHO\D070307.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070309.csv","C:\fchart\chokan\KABUJOHO\D070309.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070312.csv","C:\fchart\chokan\KABUJOHO\D070312.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070313.csv","C:\fchart\chokan\KABUJOHO\D070313.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070314.csv","C:\fchart\chokan\KABUJOHO\D070314.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070315.csv","C:\fchart\chokan\KABUJOHO\D070315.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070316.csv","C:\fchart\chokan\KABUJOHO\D070316.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070319.csv","C:\fchart\chokan\KABUJOHO\D070319.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070320.csv","C:\fchart\chokan\KABUJOHO\D070320.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070322.csv","C:\fchart\chokan\KABUJOHO\D070322.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070323.csv","C:\fchart\chokan\KABUJOHO\D070323.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070326.csv","C:\fchart\chokan\KABUJOHO\D070326.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070327.csv","C:\fchart\chokan\KABUJOHO\D070327.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070328.csv","C:\fchart\chokan\KABUJOHO\D070328.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070329.csv","C:\fchart\chokan\KABUJOHO\D070329.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070330.csv","C:\fchart\chokan\KABUJOHO\D070330.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070402.csv","C:\fchart\chokan\KABUJOHO\D070402.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070403.csv","C:\fchart\chokan\KABUJOHO\D070403.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070404.csv","C:\fchart\chokan\KABUJOHO\D070404.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070405.csv","C:\fchart\chokan\KABUJOHO\D070405.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070406.csv","C:\fchart\chokan\KABUJOHO\D070406.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070409.csv","C:\fchart\chokan\KABUJOHO\D070409.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070410.csv","C:\fchart\chokan\KABUJOHO\D070410.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070411.csv","C:\fchart\chokan\KABUJOHO\D070411.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070413.csv","C:\fchart\chokan\KABUJOHO\D070413.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070416.csv","C:\fchart\chokan\KABUJOHO\D070416.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070417.csv","C:\fchart\chokan\KABUJOHO\D070417.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070418.csv","C:\fchart\chokan\KABUJOHO\D070418.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070420.csv","C:\fchart\chokan\KABUJOHO\D070420.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070423.csv","C:\fchart\chokan\KABUJOHO\D070423.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070424.csv","C:\fchart\chokan\KABUJOHO\D070424.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070425.csv","C:\fchart\chokan\KABUJOHO\D070425.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070426.csv","C:\fchart\chokan\KABUJOHO\D070426.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070501.csv","C:\fchart\chokan\KABUJOHO\D070501.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070502.csv","C:\fchart\chokan\KABUJOHO\D070502.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070507.csv","C:\fchart\chokan\KABUJOHO\D070507.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070508.csv","C:\fchart\chokan\KABUJOHO\D070508.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\chokan\KABUJOHO\D070509.csv","C:\fchart\chokan\KABUJOHO\D070509.csv",".csv","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
